year,investment_pct_gdp,real_growth_pct,icor,is_outlier
1993,14.650237510863196,-2.3000000043895907,-19.10006466379201,True
1994,18.2004266495678,-5.199999993067362,-2.8173533712297862,True
1995,24.199826082533804,-0.9000000054609769,-20.222696154591247,True
1996,23.000095157758,1.70000000306183,14.23519178761651,True
1997,18.8993990766049,5.199999996564086,4.423095225568341,False
1998,20.9006339688086,4.300000001062787,4.395209086496216,False
1999,17.1003354222844,4.300000001794069,4.86061254885775,False
2000,19.6000122865217,3.835000000140254,4.459018362883704,False
2001,21.0999939090005,4.16383824998896,4.707198289120301,False
2002,21.1999946310166,3.973488192357033,5.3101941889713276,False
2003,20.8,4.23262738154393,5.008708000958853,False
2004,24.5,7.449000605596434,2.7923208899154823,False
2005,28.000000000000004,6.95000719569101,3.525176206319606,False
2006,29.6100809944662,7.451418476217686,3.7576738025607046,False
2007,28.205746718694595,9.473005305445458,3.125732546296068,False
2008,32.0363460936417,9.029161017847787,3.1238502295994928,False
2009,29.947787976247405,8.050933327339616,3.97920896759282,False
2010,25.544196023924,7.597167961001539,3.941967339668948,False
2011,24.939068190187996,8.127936816256454,3.142765083118484,False
2012,28.061546236388,7.3568213889948275,3.389924380588429,False
2013,25.454963702488097,7.921774926102176,3.542330664296642,False
2014,25.9149119018393,7.713739117079799,3.299951335679164,False
2015,24.424590799647,7.944776593116432,3.2618805070356136,False
2016,23.7962055076888,6.711080226280375,3.6394425302801605,False
2017,26.259773911043897,4.700274019560147,5.062727281145974,False
2018,33.495968490666094,5.7236838075763075,4.5879148453806,False
2019,37.5511039982581,6.793310984845058,4.930727971292789,False
2020,35.6185340527013,1.6216228164043667,23.156497070952895,True
2021,35.9146303184061,8.204485123539197,4.341349093376918,False
2022,33.3171368327978,6.085923357373835,5.9012623408888585,False
2023,33.0290737657093,6.316030042018661,5.275012406709411,False
2024,39.0472249923559,6.67618796188385,4.947295365900593,False
2025,33.277986337555,7.699624779329328,5.0713153058033935,False
