region_code,year,metric_id,value,real_value,value_per_capita,real_value_per_capita
1700,2010,1,200951.0,,0.007176462605441156,
1700,2011,1,214084.0,,0.007350927432923354,
1700,2012,1,228736.0,,0.007739228702707458,
1700,2013,1,229177.0,,0.007640888859252838,
1700,2014,1,241201.0,,0.007910096809738693,
1700,2015,1,246687.0,,0.007951873640099928,
1700,2016,1,257758.0,,0.008163279525451856,
1700,2017,1,268428.0,,0.008356906025746798,
1700,2018,1,285531.0,,0.008743412530966081,
1700,2019,1,323517.0,,0.009728225406323766,
1700,2020,1,398133.0,,0.011742535068367093,
1700,2021,1,475197.0,,0.01375035085028748,
1700,2022,1,528929.0,,0.014996016591393001,
1700,2023,1,592371.0,,0.01644337666447374,
1700,2024,1,485024.0,,0.01318007163082408,
1700,2025,1,424840.0,,0.01131603059941614,
1700,2026,1,474899.0,,0.01241997871155199,
1703,2010,1,18070.0,,0.00708877643089718,
1703,2011,1,20041.0,,0.007499532238146914,
1703,2012,1,21815.0,,0.00803735907449709,
1703,2013,1,22606.0,,0.008201277028007546,
1703,2014,1,23991.0,,0.008551416859739798,
1703,2015,1,24835.0,,0.00869177195254261,
1703,2016,1,26048.0,,0.008949665006012712,
1703,2017,1,26278.0,,0.008870210970464134,
1703,2018,1,24644.0,,0.008182753926353887,
1703,2019,1,27391.0,,0.008931168280674296,
1703,2020,1,30740.0,,0.009828308341592864,
1703,2021,1,36726.0,,0.011519713936200245,
1703,2022,1,40474.0,,0.012440141386199477,
1703,2023,1,44658.0,,0.01344027447557709,
1703,2024,1,29717.0,,0.008754713646005184,
1703,2025,1,25163.0,,0.0072704420687662525,
1703,2026,1,27002.0,,0.007667102050088023,
1706,2010,1,12360.0,,0.007665116279069768,
1706,2011,1,13055.0,,0.007753296115928257,
1706,2012,1,13057.0,,0.007647299988286283,
1706,2013,1,12403.0,,0.0071706076198184655,
1706,2014,1,11468.0,,0.006529264404463676,
1706,2015,1,12082.0,,0.006767111011538031,
1706,2016,1,13828.0,,0.007617893345085941,
1706,2017,1,14809.0,,0.008033089232438296,
1706,2018,1,15625.0,,0.008354721420168966,
1706,2019,1,18115.0,,0.009560375765252269,
1706,2020,1,23459.0,,0.012193461198606996,
1706,2021,1,28233.0,,0.014500025679215243,
1706,2022,1,31160.0,,0.01576284904896803,
1706,2023,1,33686.0,,0.016761705727222968,
1706,2024,1,31203.0,,0.015265655577299413,
1706,2025,1,26186.0,,0.012607607125662012,
1706,2026,1,28831.0,,0.01368343616516374,
1708,2010,1,7243.0,,0.0064854942693409745,
1708,2011,1,7961.0,,0.0068235193280192,
1708,2012,1,9184.0,,0.007739760660711276,
1708,2013,1,9053.0,,0.007512863070539419,
1708,2014,1,9414.0,,0.00767362243234431,
1708,2015,1,9722.0,,0.0077769778417726585,
1708,2016,1,10076.0,,0.007895932920617507,
1708,2017,1,10694.0,,0.008219830899308224,
1708,2018,1,12008.0,,0.009062641509433962,
1708,2019,1,14226.0,,0.01051907719609583,
1708,2020,1,17190.0,,0.012437594964184936,
1708,2021,1,20993.0,,0.014883374689826303,
1708,2022,1,22714.0,,0.015736455590965776,
1708,2023,1,25847.0,,0.01751745171128431,
1708,2024,1,19923.0,,0.013216797134138251,
1708,2025,1,16606.0,,0.010799947970863684,
1708,2026,1,18461.0,,0.01178186227583126,
1710,2010,1,15627.0,,0.00597339551240396,
1710,2011,1,18078.0,,0.006639244922692717,
1710,2012,1,20347.0,,0.007324861401108791,
1710,2013,1,20437.0,,0.007218238971497192,
1710,2014,1,19868.0,,0.006862155907850655,
1710,2015,1,19570.0,,0.006613944371219034,
1710,2016,1,18557.0,,0.0061333289264939184,
1710,2017,1,18005.0,,0.005829124579124579,
1710,2018,1,18471.0,,0.005866789480370982,
1710,2019,1,20915.0,,0.006509290093679001,
1710,2020,1,25259.0,,0.007699975612730155,
1710,2021,1,30180.0,,0.009048389998201116,
1710,2022,1,36168.0,,0.010611741924126398,
1710,2023,1,41612.0,,0.011949573557706114,
1710,2024,1,33064.0,,0.00928607538055384,
1710,2025,1,27456.0,,0.0075443079713131645,
1710,2026,1,30424.0,,0.008185095507129406,
1712,2010,1,7024.0,,0.008248003757632691,
1712,2011,1,7249.0,,0.008303550973654067,
1712,2012,1,7857.0,,0.00891625056740808,
1712,2013,1,7919.0,,0.008913777577667717,
1712,2014,1,8062.0,,0.008946842747752747,
1712,2015,1,8127.0,,0.008899474375821288,
1712,2016,1,8533.0,,0.0091960340553939,
1712,2017,1,8771.0,,0.009303139584217225,
1712,2018,1,9469.0,,0.009884133611691022,
1712,2019,1,11175.0,,0.011408882082695252,
1712,2020,1,17067.0,,0.017116638250927692,
1712,2021,1,20133.0,,0.019862865035516968,
1712,2022,1,22711.0,,0.02196634103878518,
1712,2023,1,25179.0,,0.023855045002368545,
1712,2024,1,21880.0,,0.020347809913512507,
1712,2025,1,18515.0,,0.016913309582534026,
1712,2026,1,20982.0,,0.018870402014569656,
1714,2010,1,13207.0,,0.0058476865176001775,
1714,2011,1,14289.0,,0.006005043076276528,
1714,2012,1,14569.0,,0.006018755680409816,
1714,2013,1,15076.0,,0.0061316956115020135,
1714,2014,1,15953.0,,0.0063707519667744895,
1714,2015,1,16698.0,,0.006537467700258398,
1714,2016,1,17695.0,,0.00679688100176692,
1714,2017,1,18746.0,,0.007067561453777711,
1714,2018,1,19952.0,,0.007390724551785449,
1714,2019,1,21269.0,,0.007726034363761851,
1714,2020,1,25909.0,,0.009217660452540202,
1714,2021,1,30882.0,,0.010769659982563209,
1714,2022,1,33422.0,,0.01140254511957968,
1714,2023,1,36914.0,,0.012314929107589658,
1714,2024,1,27634.0,,0.009012752356413686,
1714,2025,1,23920.0,,0.007638024076380241,
1714,2026,1,27097.0,,0.008492227654506707,
1718,2010,1,15161.0,,0.0048608528374479,
1718,2011,1,15300.0,,0.004677754677754678,
1718,2012,1,17223.0,,0.005177980879081234,
1718,2013,1,16497.0,,0.004879469963619155,
1718,2014,1,17403.0,,0.005050789412584166,
1718,2015,1,17610.0,,0.0050102424035507,
1718,2016,1,18553.0,,0.0051767627444962196,
1718,2017,1,19435.0,,0.005322178711285155,
1718,2018,1,21061.0,,0.005661406951426037,
1718,2019,1,25066.0,,0.006598225802205902,
1718,2020,1,31354.0,,0.008086346520864497,
1718,2021,1,38946.0,,0.009865491298730907,
1718,2022,1,46667.0,,0.011576166497159725,
1718,2023,1,54163.0,,0.013152105288718373,
1718,2024,1,43477.0,,0.010330759177854342,
1718,2025,1,37514.0,,0.008729261198371146,
1718,2026,1,41091.0,,0.009381935248184849,
1722,2010,1,12367.0,,0.00596,
1722,2011,1,12105.0,,0.005565261367293458,
1722,2012,1,12559.0,,0.005660011717517689,
1722,2013,1,11649.0,,0.005153056710607803,
1722,2014,1,14036.0,,0.0060806654247714765,
1722,2015,1,12259.0,,0.005198236017470211,
1722,2016,1,12207.0,,0.0050619946091644205,
1722,2017,1,13003.0,,0.005280834991674451,
1722,2018,1,13719.0,,0.0054566064752207466,
1722,2019,1,15172.0,,0.005903731662710611,
1722,2020,1,19220.0,,0.007310486478262523,
1722,2021,1,25367.0,,0.009462473888391524,
1722,2022,1,28291.0,,0.010313137941090697,
1722,2023,1,31427.0,,0.011197933368964902,
1722,2024,1,24657.0,,0.008570087935768656,
1722,2025,1,23098.0,,0.007841792564929553,
1722,2026,1,25065.0,,0.008324476917967453,
1724,2010,1,6496.0,,0.009092945128779395,
1724,2011,1,7219.0,,0.009927117711771178,
1724,2012,1,7623.0,,0.010308316430020285,
1724,2013,1,7423.0,,0.009889421795896617,
1724,2014,1,7952.0,,0.010411102382822729,
1724,2015,1,8195.0,,0.010545618324539957,
1724,2016,1,8300.0,,0.010498355679230964,
1724,2017,1,8993.0,,0.011197858299091023,
1724,2018,1,9392.0,,0.011511214609633533,
1724,2019,1,10367.0,,0.012491866489938547,
1724,2020,1,13169.0,,0.015560675883256528,
1724,2021,1,15425.0,,0.017917295853176907,
1724,2022,1,15920.0,,0.01811973594354655,
1724,2023,1,17259.0,,0.019249386571492305,
1724,2024,1,13432.0,,0.014695842450765864,
1724,2025,1,10717.0,,0.011513751611516975,
1724,2026,1,12239.0,,0.012933530592835253,
1726,2010,1,39174.0,,0.01753300810097122,
1726,2011,1,40590.0,,0.01767472240365774,
1726,2012,1,41669.0,,0.018043996016108777,
1726,2013,1,42234.0,,0.018041778803024478,
1726,2014,1,45250.0,,0.019231586552764673,
1726,2015,1,46603.0,,0.01965293299034285,
1726,2016,1,51024.0,,0.021320407822162796,
1726,2017,1,55077.0,,0.022720597335093438,
1726,2018,1,61284.0,,0.024862671913667898,
1726,2019,1,69236.0,,0.027585162755488266,
1726,2020,1,83846.0,,0.03260333631450014,
1726,2021,1,95951.0,,0.035611267814726844,
1726,2022,1,105603.0,,0.03691638117877368,
1726,2023,1,117812.0,,0.039849817345420105,
1726,2024,1,99151.0,,0.03260687976848198,
1726,2025,1,96083.0,,0.030867065021845285,
1726,2026,1,108678.0,,0.03419590321261131,
1727,2010,1,16981.0,,0.006566765922889516,
1727,2011,1,18746.0,,0.0070889426713054,
1727,2012,1,20473.0,,0.00766491950580307,
1727,2013,1,21333.0,,0.00791371443409875,
1727,2014,1,22823.0,,0.008372647565941523,
1727,2015,1,23954.0,,0.008684334553891889,
1727,2016,1,24403.0,,0.008733760423750046,
1727,2017,1,25019.0,,0.008842823313187007,
1727,2018,1,26919.0,,0.009408290227876415,
1727,2019,1,31030.0,,0.010705537346903571,
1727,2020,1,38523.0,,0.013094598728712737,
1727,2021,1,46173.0,,0.015515642326691085,
1727,2022,1,50296.0,,0.017098759136494987,
1727,2023,1,55472.0,,0.01853143582548273,
1727,2024,1,45295.0,,0.014842060423356708,
1727,2025,1,40500.0,,0.013028792021875502,
1727,2026,1,46479.0,,0.014705286803556174,
1730,2010,1,16879.0,,0.0054898198139595395,
1730,2011,1,18259.0,,0.005654341632602502,
1730,2012,1,19016.0,,0.005796147281150939,
1730,2013,1,19230.0,,0.005775295071628075,
1730,2014,1,21173.0,,0.006252177764653772,
1730,2015,1,21795.0,,0.006326743882260733,
1730,2016,1,23083.0,,0.006585171026730951,
1730,2017,1,23310.0,,0.0065389362657091565,
1730,2018,1,25571.0,,0.007063421910391691,
1730,2019,1,29128.0,,0.007908125865392447,
1730,2020,1,35379.0,,0.009429371002132196,
1730,2021,1,42241.0,,0.011057853403141362,
1730,2022,1,46622.0,,0.011965403962632173,
1730,2023,1,52746.0,,0.013265095691974952,
1730,2024,1,42574.0,,0.010482334113012434,
1730,2025,1,34302.0,,0.00827611166067508,
1730,2026,1,37846.0,,0.008961875443997158,
1733,2010,1,10527.0,,0.006741162909836065,
1733,2011,1,10822.0,,0.006759103116607332,
1733,2012,1,12044.0,,0.007393039101344301,
1733,2013,1,12043.0,,0.007282017172572258,
1733,2014,1,12502.0,,0.007423549670447123,
1733,2015,1,13003.0,,0.007579272557705759,
1733,2016,1,12899.0,,0.007383937260289656,
1733,2017,1,13342.0,,0.0075094275904767265,
1733,2018,1,13674.0,,0.007575623268698061,
1733,2019,1,14837.0,,0.008082475350002723,
1733,2020,1,18614.0,,0.009972676131797482,
1733,2021,1,21979.0,,0.011608831141393335,
1733,2022,1,25160.0,,0.013075563870699511,
1733,2023,1,28904.0,,0.014761248148715591,
1733,2024,1,27089.0,,0.013574363599919823,
1733,2025,1,23779.0,,0.011699960637669751,
1733,2026,1,26957.0,,0.013027740189445197,
1735,2010,1,9835.0,,0.006026348039215686,
1735,2011,1,10370.0,,0.006169314057945148,
1735,2012,1,11300.0,,0.006675330812854443,
1735,2013,1,11274.0,,0.006586049772169646,
1735,2014,1,11306.0,,0.00651079758134178,
1735,2015,1,12234.0,,0.006938914412115024,
1735,2016,1,12552.0,,0.007007983920495784,
1735,2017,1,12946.0,,0.007122971114167813,
1735,2018,1,13742.0,,0.0074591543179721,
1735,2019,1,15590.0,,0.008337790137982672,
1735,2020,1,18404.0,,0.009694990254438181,
1735,2021,1,21968.0,,0.011419660030150231,
1735,2022,1,23721.0,,0.01217397998460354,
1735,2023,1,26692.0,,0.013506730088047769,
1735,2024,1,25928.0,,0.0129465221950367,
1735,2025,1,21001.0,,0.010346849288072129,
1735,2026,1,23747.0,,0.011565848431716347,
1700,2010,2,30856.7,30856.7,0.0011019699015049247,0.0011019699015049247
1700,2011,2,45285.9,37310.092742470566,0.0015549661097261996,0.0012811036054331075
1700,2012,2,55750.0,40058.45974727044,0.0018862881233209499,0.0013553685535391312
1700,2013,2,66435.3,42336.168373120825,0.002214989914481471,0.0014115114399160093
1700,2014,2,81794.3,46087.10460125803,0.002682413553363417,0.0015114094016049043
1700,2015,2,99604.6,51018.9263673078,0.0032107212507051335,0.0016445781728522137
1700,2016,2,115599.2,54548.62175051741,0.0036610641862468447,0.0017275725567300205
1700,2017,2,148199.3,57490.14619050098,0.004613854080727261,0.0017898272502140681
1700,2018,2,187425.6,57418.62116601934,0.005739269430162877,0.0017582493382987056
1700,2019,2,216283.1,56465.49981161668,0.00650367909067673,0.0016979296601048453
1700,2020,2,250250.6,58389.615588263456,0.007380891426683813,0.0017221433758911157
1700,2021,2,303415.5,62717.74700205414,0.008779663125851806,0.0018148073868686253
1700,2022,2,345191.7,62566.69722569873,0.009786758639460411,0.0017738698949485482
1700,2023,2,405418.0,64507.306493736025,0.011253827213954792,0.0017906311049783906
1700,2024,2,439948.0,61367.26961556957,0.011955173669422116,0.0016675979112812996
1703,2010,2,2841.1,2841.1,0.0011145502334157153,0.0011145502334157153
1703,2011,2,4264.9,3513.7606746771667,0.0015959660217789917,0.001314882563588357
1703,2012,2,5283.6,3796.464177949383,0.0019466509468720067,0.0013987414995023887
1703,2013,2,6575.4,4190.200714388565,0.002385502829777971,0.0015201714970209566
1703,2014,2,7992.4,4503.328163638476,0.002848832650151488,0.0016051784579000094
1703,2015,2,9796.6,5017.961158922054,0.00342862142582158,0.0017561898151828839
1703,2016,2,11873.4,5602.786225965176,0.004079505239649545,0.001925025331030811
1703,2017,2,15290.9,5931.7154425448125,0.0051614852320675106,0.002002266816048882
1703,2018,2,19606.3,6006.472499847006,0.006510044161105024,0.0019943794202101823
1703,2019,2,23686.7,6183.9383400174165,0.00772333626789266,0.002016348214815422
1703,2020,2,26096.1,6088.861514629263,0.008343543178693609,0.0019467536894936417
1703,2021,2,30413.0,6286.543830402443,0.009539537655656974,0.0019718778678217254
1703,2022,2,35587.4,6450.288581242918,0.010938189641924083,0.001982569104423826
1703,2023,2,41035.7,6529.316599373987,0.012350106840822222,0.00196506353248081
1703,2024,2,44074.7,6147.872016977788,0.012984533349045486,0.001811180773326004
1706,2010,2,2426.3,2426.3,0.0015046821705426358,0.0015046821705426358
1706,2011,2,3749.3,3088.9687677476854,0.0022266896305974584,0.001834522370678041
1706,2012,2,4489.6,3225.945486660904,0.002629495138807544,0.0018893905860729201
1706,2013,2,5655.5,3603.9906530742664,0.0032696421344741862,0.0020835929080616675
1706,2014,2,6856.6,3863.360178019566,0.0039037804600318836,0.00219959017195375
1706,2015,2,8290.5,4246.514810040554,0.004643497255516971,0.0023784669037977785
1706,2016,2,9812.2,4630.153031685574,0.005405575143234906,0.0025507674260057153
1706,2017,2,12968.8,5030.915853957266,0.007034879305668565,0.0027290023617885903
1706,2018,2,17064.6,5227.812010470573,0.00912447866538338,0.0027953224310076855
1706,2019,2,19182.1,5007.912610538744,0.010123548659489128,0.002642976889665793
1706,2020,2,23876.0,5570.857619463763,0.012410208430791622,0.002895606642478176
1706,2021,2,28529.3,5897.172094193286,0.01465220070874634,0.0030286950306575348
1706,2022,2,32867.5,5957.301178057447,0.016626618777822743,0.003013608447014087
1706,2023,2,37174.5,5914.949176532344,0.01849753694581281,0.002943200067936679
1706,2024,2,40307.9,5622.450305348398,0.019720107632093933,0.0027507095427340496
1708,2010,2,1736.2,1736.2,0.0015546203438395415,0.0015546203438395415
