year,Agriculture,Industry,Services,total_growth_pct,shares_reliable
1988,5.090213503261863,2.0881068720399307,5.017616389895428,12.19593676519722,True
1989,4.064569844268614,-0.7255853898349595,3.939971237307775,7.278955691741429,True
1990,2.5082368159761192,1.284756575158565,-1.1099626486425878,2.6830307424920967,True
1991,3.7967016450463937,3.187550546274339,-8.229553633596586,-1.2453014422758528,False
1992,-5.889595365547189,-4.601838649735213,-0.22816251006057706,-10.719596525342977,True
1993,-8.18855370878603,-5.612129731558429,1.4202267078287798,-12.380456732515679,False
1994,4.974538675167805,-8.240790701469509,-0.334918631875868,-3.6011706581775718,False
1995,-6.548126263416338,-0.3268961598332627,1.1806389171504077,-5.694383506099193,False
1996,-5.304964515311725,2.383171153626697,3.0924599082591517,0.17066654657412395,False
1997,7.300183508614603,-2.020414833429193,1.3242427027297217,6.604011377915132,False
1998,-0.2462118359609728,0.489823875426164,1.4171926705546505,1.6608047100198418,True
1999,3.470940404342826,-0.44891340054131645,1.6743556986057062,4.696382702407216,True
2000,2.1855941722894996,-0.040534948696424565,2.116121457988514,4.261180681581589,True
2001,1.1659659400507334,0.5530986924507706,2.611766214228132,4.330830846729636,True
2002,1.3457937517902694,0.20706644873040567,1.1892653152936268,2.742125515814302,True
2003,-0.455983241287866,1.922616857588608,1.113745872027389,2.580379488328131,True
2004,-0.048183428321860386,3.5212783509567886,2.523943834446525,5.997038757081453,True
2005,1.7170610498085424,5.51418605267366,2.4353349904154564,9.66658209289766,True
2006,0.6171204010260117,2.8262843654703613,3.7440030574978738,7.187407823994247,True
2007,0.35762856433162393,2.5689536670577153,5.566996479615659,8.493578711004998,True
2008,-1.76848724652671,4.826685677035033,5.328865680880005,8.387064111388328,True
2009,0.4431842166147172,3.7312440316261344,3.342032658437239,7.516460906678091,True
2010,7.2783560185359875,-6.506664395116454,4.916677342245954,5.688368965665488,False
2011,4.53893961414572,0.49894871652855716,2.9583608411178908,7.996249171792168,True
2012,1.3548341494613152,2.254110117074413,3.005179184266861,6.614123450802589,True
2013,0.5981817966843066,2.60223689455654,4.855051005997661,8.055469697238507,True
2014,2.740668193642539,2.4453615198316156,2.3410491683420167,7.527078881816172,True
2015,2.4523255699541653,2.832847650231571,2.6906783832032697,7.975851603389007,True
2016,1.6798320402462412,2.1837266881850077,2.640734236089598,6.504292964520847,True
2017,0.20864037563369936,-10.600639139069974,-0.5688969168781256,-10.960895680314401,False
2018,-0.4823408424067068,18.00874283376441,0.7998218289558792,18.32622382031358,False
2019,-0.3930196788724149,5.308827083419707,3.2928559816817757,8.208663386229068,True
2020,0.7871245419419205,1.19702978197039,0.5431620632852798,2.5273163871975903,True
2021,1.586874997243148,2.5771260257145223,3.799415376733177,7.963416399690847,True
2022,0.2245269083094974,0.5932506494049375,5.218879294232788,6.036656851947223,True
2023,0.5183826173956266,1.215529457407694,5.392400637172399,7.12631271197572,True
2024,-0.74904847385882,3.004960832909533,4.8569498056052005,7.112862164655914,True
2025,0.10509708092636848,3.039998549930108,3.7435615633260255,6.888657194182501,True
