metric_id,metric_code,metric_name,metric_short,official_code,unit,unit_raw,price_basis,is_deflatable,per_capita_meaningful,source,source_id,grain,metric_group,periodicity,methodology_url,notes
30,wb_exchange_rate_uzs_usd,Official exchange rate,Official exchange rate,PA.NUS.FCRF,UZS per USD,UZS per USD,not applicable,False,False,World Bank,PA.NUS.FCRF,national,Prices,annual,https://data.worldbank.org/indicator/PA.NUS.FCRF,Period average. Documents the September 2017 float.
31,wb_expense_pct_gdp,Expense,Expense,GC.XPN.TOTL.GD.ZS,% of GDP,% of GDP,not applicable,False,False,World Bank,GC.XPN.TOTL.GD.ZS,national,Fiscal,annual,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS,
32,wb_exports_pct_gdp,Exports of goods and services,Exports of goods and services,NE.EXP.GNFS.ZS,% of GDP,% of GDP,not applicable,False,False,World Bank,NE.EXP.GNFS.ZS,national,Investment and trade,annual,https://data.worldbank.org/indicator/NE.EXP.GNFS.ZS,
33,wb_external_debt_usd,External debt stocks,External debt stocks,DT.DOD.DECT.CD,current USD,current USD,not applicable,False,False,World Bank,DT.DOD.DECT.CD,national,External,annual,https://data.worldbank.org/indicator/DT.DOD.DECT.CD,"Central government debt is not published for Uzbekistan; external debt stocks are, and the gold layer expresses them against GDP."
34,wb_fdi_pct_gdp,"Foreign direct investment, net inflows","Foreign direct investment, net inflows",BX.KLT.DINV.WD.GD.ZS,% of GDP,% of GDP,not applicable,False,False,World Bank,BX.KLT.DINV.WD.GD.ZS,national,External,annual,https://data.worldbank.org/indicator/BX.KLT.DINV.WD.GD.ZS,
35,wb_gdp_current_usd,GDP,GDP,NY.GDP.MKTP.CD,current USD,current USD,not applicable,False,False,World Bank,NY.GDP.MKTP.CD,national,Output,annual,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,
36,wb_gdp_deflator,GDP deflator,GDP deflator,NY.GDP.DEFL.ZS,"index, 2010=100","index, 2010=100",not applicable,False,False,World Bank,NY.GDP.DEFL.ZS,national,Prices,annual,https://data.worldbank.org/indicator/NY.GDP.DEFL.ZS,Rebased to 2010=100 in transform. Drives every real-terms conversion in the gold layer.
37,wb_gini_index,"Gini index, household income","Gini index, household income",SI.POV.GINI,index,index,not applicable,False,False,World Bank,SI.POV.GINI,national,Living standards,annual,https://data.worldbank.org/indicator/SI.POV.GINI,"Household income inequality, which is a different thing from the regional-output Gini computed in gold_transform.py."
38,wb_gni_per_capita_atlas,"GNI per capita, Atlas method","GNI per capita, Atlas method",NY.GNP.PCAP.CD,current USD,current USD,not applicable,False,False,World Bank,NY.GNP.PCAP.CD,national,Output,annual,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,The series the World Bank uses to assign income-group classification.
39,wb_imports_pct_gdp,Imports of goods and services,Imports of goods and services,NE.IMP.GNFS.ZS,% of GDP,% of GDP,not applicable,False,False,World Bank,NE.IMP.GNFS.ZS,national,Investment and trade,annual,https://data.worldbank.org/indicator/NE.IMP.GNFS.ZS,
40,wb_industry_pct_gdp,Industry value added,Industry value added,NV.IND.TOTL.ZS,% of GDP,% of GDP,not applicable,False,False,World Bank,NV.IND.TOTL.ZS,national,Structure,annual,https://data.worldbank.org/indicator/NV.IND.TOTL.ZS,
41,wb_inflation_cpi_pct,"Inflation, consumer prices","Inflation, consumer prices",FP.CPI.TOTL.ZG,%,%,not applicable,False,False,World Bank,FP.CPI.TOTL.ZG,national,Prices,annual,https://data.worldbank.org/indicator/FP.CPI.TOTL.ZG,
42,wb_net_lending_pct_gdp,Net lending / net borrowing,Net lending / net borrowing,GC.NLD.TOTL.GD.ZS,% of GDP,% of GDP,not applicable,False,False,World Bank,GC.NLD.TOTL.GD.ZS,national,Fiscal,annual,https://data.worldbank.org/indicator/GC.NLD.TOTL.GD.ZS,
43,wb_participation_female_pct,"Labour force participation, female","Labour force participation, female",SL.TLF.CACT.FE.ZS,%,%,not applicable,False,False,World Bank,SL.TLF.CACT.FE.ZS,national,Labour,annual,https://data.worldbank.org/indicator/SL.TLF.CACT.FE.ZS,
44,wb_participation_pct,Labour force participation rate,Labour force participation rate,SL.TLF.CACT.ZS,%,%,not applicable,False,False,World Bank,SL.TLF.CACT.ZS,national,Labour,annual,https://data.worldbank.org/indicator/SL.TLF.CACT.ZS,
45,wb_population,"Population, total","Population, total",SP.POP.TOTL,persons,persons,not applicable,False,False,World Bank,SP.POP.TOTL,national,Population,annual,https://data.worldbank.org/indicator/SP.POP.TOTL,Mid-year estimate. Regional population comes from stat.uz indicator 246 instead.
46,wb_poverty_215_pct,Poverty headcount at $2.15 a day,Poverty headcount at $2.15 a day,SI.POV.DDAY,% of population,% of population,not applicable,False,False,World Bank,SI.POV.DDAY,national,Living standards,annual,https://data.worldbank.org/indicator/SI.POV.DDAY,
47,wb_poverty_national_pct,"Poverty headcount, national line","Poverty headcount, national line",SI.POV.NAHC,% of population,% of population,not applicable,False,False,World Bank,SI.POV.NAHC,national,Living standards,annual,https://data.worldbank.org/indicator/SI.POV.NAHC,
48,wb_real_gdp,Real GDP,Real GDP,NY.GDP.MKTP.KD,constant 2015 USD,constant 2015 USD,not applicable,False,False,World Bank,NY.GDP.MKTP.KD,national,Output,annual,https://data.worldbank.org/indicator/NY.GDP.MKTP.KD,
49,wb_real_gdp_growth_pct,Real GDP growth,Real GDP growth,NY.GDP.MKTP.KD.ZG,%,%,not applicable,False,False,World Bank,NY.GDP.MKTP.KD.ZG,national,Output,annual,https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG,The independent benchmark the deflated stat.uz series is validated against.
50,wb_real_gdp_per_capita,Real GDP per capita,Real GDP per capita,NY.GDP.PCAP.KD,constant 2015 USD,constant 2015 USD,not applicable,False,False,World Bank,NY.GDP.PCAP.KD,national,Output,annual,https://data.worldbank.org/indicator/NY.GDP.PCAP.KD,
51,wb_remittances_pct_gdp,Personal remittances received,Personal remittances received,BX.TRF.PWKR.DT.GD.ZS,% of GDP,% of GDP,not applicable,False,False,World Bank,BX.TRF.PWKR.DT.GD.ZS,national,Investment and trade,annual,https://data.worldbank.org/indicator/BX.TRF.PWKR.DT.GD.ZS,Large for Uzbekistan and almost invisible in the domestic production statistics.
52,wb_reserves_months,Reserves,Reserves,FI.RES.TOTL.MO,months of imports,months of imports,not applicable,False,False,World Bank,FI.RES.TOTL.MO,national,External,annual,https://data.worldbank.org/indicator/FI.RES.TOTL.MO,
53,wb_revenue_pct_gdp,Revenue excluding grants,Revenue excluding grants,GC.REV.XGRT.GD.ZS,% of GDP,% of GDP,not applicable,False,False,World Bank,GC.REV.XGRT.GD.ZS,national,Fiscal,annual,https://data.worldbank.org/indicator/GC.REV.XGRT.GD.ZS,
54,wb_services_pct_gdp,Services value added,Services value added,NV.SRV.TOTL.ZS,% of GDP,% of GDP,not applicable,False,False,World Bank,NV.SRV.TOTL.ZS,national,Structure,annual,https://data.worldbank.org/indicator/NV.SRV.TOTL.ZS,
55,wb_trade_pct_gdp,Trade openness,Trade openness,NE.TRD.GNFS.ZS,% of GDP,% of GDP,not applicable,False,False,World Bank,NE.TRD.GNFS.ZS,national,Investment and trade,annual,https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS,
56,wb_unemployment_pct,"Unemployment rate, ILO modelled","Unemployment rate, ILO modelled",SL.UEM.TOTL.ZS,%,%,not applicable,False,False,World Bank,SL.UEM.TOTL.ZS,national,Labour,annual,https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS,"Modelled and internationally comparable, unlike the stat.uz series which changes methodology in 2018."
