period,start_year,end_year,beta,p_value,r_squared,n_regions,verdict
Full period,2010,2024,0.024881152853641623,0.052321944679394335,0.27872720405144635,14,no significant relationship
Pre-reform,2010,2016,-0.022498632297211326,0.03990001925765663,0.30671482817592877,14,convergence
Post-float,2017,2024,0.05896013714868764,0.0016941699278080282,0.5740806744529849,14,divergence
