alpha,delta,mean_tfp_contrib,mean_capital_contrib,tfp_share_of_growth
0.3,0.04,2.6578164737161605,1.2234053064936778,0.5081954445900363
0.3,0.07,2.626580902498331,1.2546408777115077,0.5022229573400517
0.4,0.04,2.4426844607172753,1.6312070753249037,0.4670605091749307
0.4,0.07,2.401037032426835,1.6728545036153437,0.4590971928416178
