Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,117.9,143.3,194.9,297.9,462.2,481.7,512.0,645.5,992.6,1259.8,2160.8,1697.5,2518.9,3319.2,4465.977045908183
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,276.1,191.8,205.8,306.8,532.1,307.6,368.2,552.2,1350.0,919.6,1156.3,1200.1,1266.1,1374.9,3264.998836307215
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,127.7,180.0,221.2,270.3,428.6,1438.0,572.7,432.1,2494.1,2929.5,2357.2,2387.0,3727.3,4252.5,12124.800312012483
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,115.3,156.8,177.8,270.0,474.8,504.8,711.9,726.5,2272.3,4147.5,2686.4,2662.3,2501.3,3443.5,4354.234939759036
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,72.3,715.8,1134.7,686.6,540.0,1221.4,817.1,631.0,938.6,2110.5,2998.8,7551.8,5699.4,3096.8,11774.10460251046
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,83.6,126.2,155.5,263.8,320.3,401.5,826.3,563.8,873.1,1415.0,1792.4,2195.2,2598.9,2860.1,7376.774056353003
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,101.0,160.2,186.2,198.7,380.1,516.1,399.8,674.9,726.5,1032.5,838.5,1058.9,2062.5,2376.1,2686.2476364745353
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,103.3,155.9,173.2,240.0,297.0,354.7,336.1,562.1,854.9,1356.2,2016.8,1750.6,2398.3,2663.6,4818.743236829616
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,131.9,228.2,287.0,376.5,511.0,516.8,791.1,1628.4,2020.9,5057.4,9503.2,10510.9,12458.4,7588.4,8836.729372937294
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,1321.5,1239.5,1399.9,1720.3,2023.4,2264.0,3237.6,6254.2,5112.4,5429.3,6295.0,10462.9,10855.5,15309.4,25073.47721426838
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,547.9,673.8,658.9,955.1,2076.2,3297.0,4776.2,6214.3,5414.4,9988.3,9688.9,15924.8,19665.5,15933.9,23461.55480833894
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,2021.5,818.3,786.1,1008.6,574.1,810.8,659.4,805.0,2562.8,5418.8,5084.1,5449.0,2893.0,6003.0,4489.181259600615
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,1990.4,5977.9,6347.5,12045.1,16893.8,13952.2,29793.8,85271.3,35852.7,14054.5,8572.1,12838.8,8094.6,9781.6,20792.19523809524
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,233.2,315.4,397.5,603.9,663.3,764.5,924.4,643.3,2382.2,2484.7,4220.1,8139.4,10089.4,11748.9,21213.796224319824
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,193.9,272.6,340.9,439.4,545.7,517.8,289.7,469.3,1391.0,2029.1,2108.8,4231.9,4648.7,6429.6,6608.2373333333335
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,242.9,343.6,303.7,404.3,522.2,569.4,485.0,621.3,1683.4,1510.6,2205.7,2128.2,2751.1,14774.0,24354.733846153846
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,1410.2,1670.2,777.6,1599.7,2692.4,2626.8,2555.7,3605.4,4480.5,10590.1,7759.3,20134.8,45638.9,21234.5,21299.252631578947
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,164.1,369.3,351.6,336.1,559.1,656.6,558.9,549.7,1231.6,2425.8,2194.5,6132.9,4592.9,15816.2,75869.29768786127
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,6452.7,5032.3,6605.1,9459.6,13103.0,10165.7,9335.3,4483.0,41614.0,14853.0,10996.2,42600.0,64607.7,185744.4,195521.76119402982
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,221.3,308.6,403.0,432.3,580.5,572.7,611.8,828.9,1913.8,3707.9,2291.7,4755.3,2927.1,31691.0,43316.33182161753
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,1340.6,1475.8,3077.5,2577.4,2752.5,6021.5,5917.1,4930.4,10418.0,14607.5,32183.7,46715.0,30676.2,27000.2,22885.730314960627
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,180.7,259.9,334.4,374.8,1139.0,712.1,592.2,613.3,1713.9,2161.6,2083.6,2865.7,3234.2,3024.2,3230.769764957265
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,150.6,252.9,267.2,313.2,372.2,455.4,438.0,558.1,1022.8,2123.9,1206.9,2362.8,2521.7,1993.1,4183.993062966916
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,391.5,493.2,662.8,928.1,969.6,1033.1,1125.1,1361.9,2693.9,5778.9,8984.7,6470.8,7107.9,10037.4,15445.272577996717
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,750.6,914.4,1336.9,1621.9,1769.4,2708.4,2817.9,5015.2,7254.9,14990.6,14286.5,10739.2,12459.6,17947.9,23300.593228903486
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,641.7,871.6,953.1,1068.1,956.3,432.2,1379.3,1710.4,5483.7,11648.7,11585.8,2772.1,3761.4,4044.9,12094.71079429735
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,216.2,300.2,331.3,382.5,399.7,403.5,530.4,493.9,839.2,957.8,1256.0,3607.0,2867.2,2901.6,4862.201856148492
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,264.2,326.6,514.1,744.0,790.4,461.6,757.2,562.0,887.2,2265.0,1559.2,2835.2,5025.0,17568.7,12463.946475887655
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,211.2,238.1,357.1,488.8,501.5,505.9,1068.8,714.2,1678.6,2442.4,1817.4,4283.6,2790.2,6527.7,22929.069512195125
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,291.2,348.1,728.3,868.0,812.4,781.6,946.4,987.2,2286.3,2536.8,1746.8,2374.4,1673.1,3243.4,9094.224431818182
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,245.9,277.8,374.8,444.9,534.6,611.3,544.1,689.2,2768.8,4416.4,6490.1,5912.0,3197.1,4495.7,12742.571821684094
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,228.1,374.8,582.1,728.1,694.2,601.3,814.0,1125.6,1811.8,2841.2,2177.0,2505.7,1986.3,2715.5,4978.475392670157
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,181.1,337.0,529.0,599.0,509.8,418.2,579.8,907.6,3513.9,4617.8,6062.8,4105.5,5012.6,7634.0,15983.733452593917
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,243.4,234.8,369.5,3973.2,2926.1,1889.0,1521.4,808.8,4343.8,18944.9,25876.4,6426.2,3540.5,6829.1,24217.242144177446
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,200.2,308.8,459.7,505.0,555.7,611.3,915.6,1036.6,1561.7,5727.2,4590.0,2007.1,5893.5,3510.5,6767.959608323133
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,232.7,256.4,322.3,394.1,455.2,532.5,1135.0,1092.2,1572.2,9226.2,55517.6,30427.9,41015.8,34987.8,31791.517658930377
