Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,1.5,33.2,36.0,37.9,63.1,79.2,88.9,90.5,145.4,187.9,257.1,396.4,445.4,539.6,772.4
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,50.9,65.3,73.2,88.8,160.4,233.1,252.6,238.0,330.8,738.1,969.2,1393.7,2174.4,2728.1,3702.4
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,3040.9,3575.4,4457.7,5999.0,5928.1,4663.0,2368.7,6286.8,17111.8,20778.2,20753.0,17487.7,29503.3,42522.9,44868.3
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,39.3,51.7,70.7,76.6,139.0,175.3,190.8,202.0,264.8,331.5,406.2,436.0,596.5,752.1,1085.3
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,100.9,133.6,138.8,248.9,409.3,353.0,446.6,532.9,657.7,698.7,813.7,1132.4,1547.9,1451.2,2021.4
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,12.4,14.7,15.4,25.5,67.6,94.5,124.5,123.7,164.9,349.3,544.0,591.6,728.7,965.4,1183.8
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,51.4,71.1,72.9,100.8,171.0,222.9,292.0,368.4,547.8,596.5,886.6,1057.9,2224.8,2956.2,3772.9
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,1674.8,2202.6,2457.8,3073.9,3972.6,5143.9,5569.6,6422.3,8601.2,14798.2,17574.4,20772.1,27202.4,31860.4,42243.7
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,324.4,403.3,381.5,511.3,754.8,863.1,960.8,1132.8,1555.3,1777.1,2224.8,2700.0,3012.7,3212.7,4416.2
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,126.0,166.6,204.2,262.5,237.7,260.8,321.9,354.5,410.4,596.0,773.6,914.0,1022.8,1124.4,1349.7
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,36.1,52.6,64.9,74.0,113.7,173.7,180.5,225.5,305.2,415.5,374.5,547.2,327.0,401.2,915.4
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,54.4,71.1,83.0,101.9,185.7,239.8,259.4,290.4,392.6,527.8,587.2,428.0,820.0,892.9,1215.5
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,18.4,30.9,49.4,53.6,78.3,166.4,226.8,247.2,241.9,313.5,395.3,428.0,576.6,806.1,1245.0
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,98.5,117.3,140.5,168.0,277.1,361.3,431.7,498.9,589.3,1005.9,1287.2,1732.7,1796.7,2102.8,2744.1
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,20.2,43.5,121.8,179.6,232.1,234.7,277.5,311.4,465.5,661.8,744.4,1233.1,1549.5,1704.9,2267.0
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,58.1,66.3,84.6,99.1,149.7,197.2,226.5,230.1,276.3,449.2,576.5,615.6,1086.7,1250.0,1108.2
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,680.5,901.4,894.1,1120.7,1215.6,1690.2,1580.9,1967.8,2927.9,6415.2,8317.1,8636.4,13215.3,16172.5,17670.6
