Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,456.0,491.0,535.0,542.0,550.0,563.0,597.0,625.0,614.0,711.0,837.0,1138.0,1256.0,1364.0,937.0,797.0,805.0
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,715.0,794.0,843.0,884.0,906.0,931.0,971.0,1042.0,967.0,1069.0,1076.0,1437.0,1692.0,1791.0,1407.0,1162.0,1138.0
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,873.0,1009.0,1095.0,1098.0,1200.0,1238.0,1224.0,1187.0,1065.0,1196.0,1316.0,1675.0,1965.0,2199.0,1463.0,1221.0,1416.0
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,337.0,368.0,416.0,426.0,471.0,518.0,554.0,600.0,491.0,568.0,519.0,689.0,811.0,888.0,752.0,790.0,826.0
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,1086.0,1193.0,1310.0,1369.0,1414.0,1226.0,1399.0,1320.0,1305.0,1318.0,1528.0,1844.0,2017.0,2218.0,1439.0,1323.0,1343.0
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,1030.0,1113.0,1835.0,1864.0,2004.0,2136.0,2294.0,2381.0,2302.0,2572.0,2871.0,3471.0,3835.0,4175.0,2561.0,2096.0,2123.0
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,811.0,880.0,1029.0,1100.0,1175.0,1206.0,1254.0,1271.0,1077.0,1258.0,1254.0,1556.0,1895.0,1963.0,1440.0,1147.0,1233.0
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,1053.0,1216.0,1343.0,1452.0,1544.0,1662.0,1593.0,1771.0,1692.0,1795.0,2151.0,2527.0,2831.0,3085.0,2109.0,1742.0,1872.0
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,732.0,805.0,834.0,813.0,832.0,859.0,872.0,943.0,808.0,946.0,1175.0,1489.0,1656.0,1871.0,1306.0,1026.0,1129.0
1703404,Asaka shahar,Город  Асака,Asaka сity,Aсака шаҳар,572.0,573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,540.0,588.0,660.0,713.0,780.0,756.0,838.0,935.0,849.0,946.0,1131.0,1427.0,1718.0,1934.0,1420.0,1075.0,1175.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,12360.0,13055.0,13057.0,12403.0,11468.0,12082.0,13828.0,14809.0,15625.0,18115.0,23459.0,28233.0,31160.0,33686.0,31203.0,26186.0,28831.0
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,4082.0,4209.0,4078.0,3872.0,3557.0,3857.0,4494.0,4809.0,5155.0,5931.0,7518.0,8403.0,8927.0,9452.0,8278.0,7131.0,7841.0
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,491.0,480.0,443.0,402.0,406.0,440.0,489.0,496.0,533.0,641.0,937.0,1175.0,1290.0,1334.0,1176.0,936.0,1010.0
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,435.0,458.0,483.0,511.0,481.0,486.0,549.0,529.0,522.0,540.0,678.0,898.0,1056.0,1128.0,1153.0,1093.0,1233.0
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,987.0,1111.0,1060.0,910.0,842.0,897.0,1002.0,1105.0,1098.0,1306.0,1725.0,2240.0,2374.0,2578.0,2218.0,1971.0,2180.0
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Вобкент тумани,561.0,589.0,599.0,590.0,578.0,644.0,713.0,775.0,795.0,820.0,1056.0,1400.0,1672.0,1833.0,1928.0,1629.0,1756.0
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,1356.0,1395.0,1441.0,1408.0,1117.0,1263.0,1332.0,1483.0,1629.0,1870.0,2411.0,2925.0,3329.0,3565.0,3256.0,2714.0,2946.0
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,477.0,471.0,516.0,596.0,546.0,530.0,642.0,699.0,742.0,917.0,1192.0,1488.0,1651.0,1916.0,1719.0,1431.0,1553.0
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,612.0,671.0,742.0,593.0,639.0,672.0,706.0,740.0,784.0,928.0,1217.0,1466.0,1620.0,1834.0,1698.0,1424.0,1390.0
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,178.0,181.0,190.0,168.0,197.0,220.0,233.0,249.0,278.0,349.0,482.0,648.0,746.0,791.0,762.0,570.0,637.0
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,668.0,722.0,748.0,733.0,588.0,605.0,815.0,934.0,974.0,1107.0,1387.0,1704.0,1850.0,1997.0,1809.0,1374.0,1566.0
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,781.0,871.0,872.0,984.0,822.0,905.0,1025.0,1092.0,1151.0,1414.0,1950.0,2355.0,2614.0,2882.0,2849.0,2274.0,2585.0
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,866.0,948.0,946.0,719.0,766.0,755.0,980.0,1024.0,1060.0,1213.0,1541.0,1852.0,2162.0,2383.0,2504.0,2085.0,2346.0
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,866.0,949.0,939.0,917.0,929.0,808.0,848.0,874.0,904.0,1079.0,1365.0,1679.0,1869.0,1993.0,1853.0,1554.0,1788.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,7243.0,7961.0,9184.0,9053.0,9414.0,9722.0,10076.0,10694.0,12008.0,14226.0,17190.0,20993.0,22714.0,25847.0,19923.0,16606.0,18461.0
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,2348.0,2491.0,2924.0,2758.0,3031.0,3322.0,3506.0,3618.0,3941.0,4356.0,5261.0,6138.0,6556.0,7296.0,5241.0,4497.0,4912.0
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,179.0,203.0,250.0,252.0,261.0,244.0,248.0,310.0,351.0,441.0,558.0,739.0,793.0,915.0,717.0,741.0,907.0
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,433.0,483.0,559.0,566.0,491.0,560.0,568.0,617.0,652.0,810.0,979.0,1220.0,1407.0,1667.0,1411.0,1227.0,1387.0
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,737.0,829.0,905.0,874.0,883.0,862.0,805.0,860.0,937.0,1126.0,1370.0,1741.0,1920.0,2232.0,1836.0,1540.0,1626.0
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,871.0,1078.0,1260.0,1353.0,1501.0,1636.0,1753.0,1794.0,1977.0,2362.0,2893.0,3298.0,3389.0,3788.0,2585.0,2269.0,2745.0
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,286.0,272.0,305.0,295.0,314.0,293.0,328.0,374.0,452.0,584.0,685.0,907.0,985.0,1113.0,843.0,602.0,640.0
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,641.0,657.0,742.0,795.0,649.0,577.0,662.0,778.0,979.0,1145.0,1400.0,1653.0,1829.0,2162.0,1737.0,1450.0,1608.0
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,255.0,331.0,399.0,337.0,377.0,328.0,365.0,432.0,542.0,674.0,771.0,1025.0,1139.0,1349.0,1057.0,812.0,869.0
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,252.0,238.0,269.0,287.0,319.0,350.0,305.0,356.0,382.0,462.0,590.0,757.0,846.0,957.0,773.0,591.0,582.0
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,218.0,221.0,249.0,228.0,238.0,235.0,294.0,300.0,277.0,367.0,444.0,626.0,652.0,783.0,641.0,497.0,587.0
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,312.0,334.0,392.0,365.0,371.0,347.0,368.0,397.0,437.0,562.0,672.0,867.0,1025.0,1185.0,1067.0,779.0,917.0
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,558.0,623.0,695.0,713.0,729.0,704.0,635.0,623.0,823.0,1014.0,1195.0,1543.0,1660.0,1791.0,1492.0,1196.0,1214.0
