Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,3.9,3.4,1.0,5.4,13.9,14.0,8.4,43.7,58.6,86.5,54.7,57.3,80.6,42.8,37.7
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,1701.9,1916.6,2336.5,2255.0,1884.1,1117.5,715.7,1013.0,1352.5,1607.8,1856.9,2058.0,2774.3,3300.2,2519.5
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,4.7,3.1,5.8,8.7,9.4,6.7,4.7,10.8,15.9,24.2,15.6,27.2,36.6,35.2,29.3
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,22.4,36.2,18.2,67.1,67.1,12.7,14.6,21.9,53.2,52.2,35.9,71.6,109.6,91.4,305.3
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,2.3,2.6,1.6,1.0,1.3,1.5,0.8,2.4,6.5,17.7,22.6,18.9,33.5,27.7,39.2
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,9.1,16.7,15.5,16.7,13.1,7.7,15.3,42.7,41.4,64.3,112.2,116.1,165.1,137.5,105.6
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,762.6,860.1,913.8,1049.8,1002.8,922.8,715.5,877.9,911.3,1259.4,831.2,1180.9,1224.8,1212.3,1324.5
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,89.6,99.1,95.9,101.6,129.3,166.6,80.4,62.9,129.0,181.9,137.2,165.9,205.3,305.4,307.2
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,21.3,24.9,24.6,24.6,24.4,11.9,24.0,12.1,25.8,28.6,29.1,50.0,32.1,42.6,30.6
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,23.9,9.6,22.9,25.1,34.9,20.9,18.1,11.4,23.1,19.6,15.3,19.9,6.5,12.4,15.1
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,32.7,20.3,33.0,23.0,31.1,16.0,24.1,24.8,32.5,49.3,44.4,68.9,79.3,42.2,102.3
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,1.8,7.1,3.9,5.9,1.5,16.3,11.1,5.6,11.5,34.7,10.7,24.6,35.3,34.5,33.8
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,44.9,37.6,43.5,42.2,56.5,51.4,44.1,35.7,71.0,53.1,78.1,99.7,83.4,74.2,70.1
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,27.5,18.4,32.7,43.2,40.3,30.3,18.6,41.1,49.9,118.5,59.1,82.7,111.6,99.3,79.5
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,24.7,21.7,18.1,14.7,14.2,19.3,16.1,13.8,24.2,34.8,18.1,22.1,51.8,32.3,40.1
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,380.6,545.4,501.6,585.5,560.7,512.1,401.0,578.9,409.4,522.4,273.7,296.6,474.4,399.0,512.4
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,24.0,14.3,24.4,24.4,17.5,16.4,12.6,14.2,25.7,51.7,46.1,59.6,57.8,68.9,69.1
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,28.7,13.1,40.9,22.8,34.9,26.9,19.7,14.5,47.8,76.2,44.4,103.5,39.3,37.4,31.4
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,22.5,11.8,34.4,21.7,15.9,17.0,19.4,16.2,29.0,36.5,32.2,37.6,26.2,48.3,19.0
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,24.0,15.1,22.3,15.4,17.0,8.0,6.4,16.4,19.0,18.2,34.2,49.1,21.6,15.7,12.9
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,233.5,282.3,178.0,307.5,171.7,158.3,194.6,235.1,336.2,508.8,816.7,531.2,688.2,1432.2,2032.1
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,29.5,52.8,55.6,173.5,81.9,79.9,111.0,152.5,137.3,176.0,114.8,136.7,211.2,577.3,786.3
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,26.6,16.0,10.5,33.4,7.9,5.6,2.5,1.3,4.9,6.9,6.5,13.1,17.4,12.6,22.9
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,14.4,22.9,6.3,7.4,7.3,4.8,9.2,1.7,7.8,9.0,4.9,14.3,7.5,9.9,29.7
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,0.8,12.1,1.1,1.9,3.2,7.4,5.5,6.7,15.6,17.3,10.1,106.5,191.9,494.5,766.9
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,16.3,4.2,2.7,3.9,3.9,1.9,3.4,9.8,35.0,30.9,25.9,16.5,24.4,19.6,39.1
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,43.4,44.5,30.8,34.2,27.1,12.5,23.4,13.4,10.3,28.2,17.1,29.9,18.6,14.0,15.2
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,14.3,2.8,0.5,1.6,8.5,12.9,9.8,21.1,37.2,47.1,51.3,45.1,36.7,27.7,32.6
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,15.6,70.6,21.8,4.8,6.2,4.7,3.8,4.6,24.3,10.8,11.0,29.7,28.9,21.7,24.7
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,6.6,2.0,1.6,8.2,0.1,13.1,0.0,0.1,2.9,19.7,11.4,10.2,7.9,2.6,12.4
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,13.7,11.9,14.7,7.0,6.4,4.6,2.7,3.1,3.5,21.8,86.2,26.6,8.4,7.2,7.4
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,46.3,23.8,22.3,12.9,12.4,7.7,6.2,5.0,16.4,40.1,36.7,19.2,21.3,19.0,44.5
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,4.5,9.3,1.8,2.4,5.8,3.0,15.9,12.6,20.5,94.0,434.0,76.3,110.1,223.5,243.1
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,0.0,0.2,0.0,0.0,0.0,0.0,0.8,2.5,20.5,5.5,3.6,3.8,4.0,1.9,3.6
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,504.5,580.6,750.8,765.4,606.9,737.7,764.1,596.9,765.7,824.8,542.1,565.7,545.4,737.8,1239.1
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,57.5,72.4,196.9,322.9,164.0,130.9,105.1,100.2,113.4,182.5,99.1,59.5,79.2,191.1,97.2
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,18.1,27.3,8.0,7.2,11.3,7.5,13.3
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,9.4,11.5
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,82.9,83.6,95.3,101.0,105.3,226.7,110.1,87.4,107.9,74.1,61.3,32.0,25.1,32.5,57.1
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,32.0,60.4,89.8,29.2,35.3,44.7,20.8,101.3,34.7,44.9,24.9,19.8,19.5,18.4,22.1
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,22.9,31.9,18.2,21.5,17.4,15.0,13.9,7.6,10.6,11.4,33.7,16.9,19.0,17.7,10.2
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,22.3,32.8,27.8,28.3,31.8,18.8,44.4,79.0,57.1,125.5,53.3,118.0,124.7,87.5,101.6
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,45.4,53.4,29.4,32.7,29.8,26.5,28.1,8.3,12.8,22.4,18.0,44.5,56.5,40.7,39.2
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,0.7,4.3,3.6,5.1,4.0,3.2,14.5,13.8,33.4,33.3,36.2,48.6,51.5,30.6,38.7
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,30.9,32.9,14.1,15.3,10.2,15.9,13.8,15.2,4.3,20.2,4.8,52.6,14.7,11.7,4.1
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,22.7,73.6,160.2,78.5,105.6,135.1,172.1,73.0,34.3,68.1,57.9,10.5,12.6,7.5,5.8
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,42.6,33.2,53.6,29.6,32.8,53.6,22.8,15.2,22.1,13.1,11.2,10.7,36.4,123.0,617.6
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,33.8,43.8,24.7,25.2,28.0,28.7,23.7,3.3,3.6,84.2,68.2,66.8,45.5,118.5,150.1
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,16.2,15.4,7.7,10.5,10.3,10.6,12.8,6.4,5.5,32.4,11.0,11.4,11.9,10.0,5.0
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,24.8,24.3,17.4,17.4,20.8,18.7,12.0,2.5,6.6,12.4,13.9,16.1,13.0,11.5,35.0
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,16.0,17.2,10.8,12.6,10.1,7.6,9.6,9.9,15.6,19.1,19.5,24.2,20.2,20.3,26.3
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,925.9,1009.1,1082.2,1081.2,990.5,802.5,704.0,768.9,1636.2,1835.5,1312.3,1168.5,1230.3,1331.3,1601.1
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,781.2,913.0,838.4,777.5,851.0,702.4,610.6,590.1,776.0,834.8,803.7,721.5,661.8,795.1,1036.6
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,27.4,6.0,1.6,4.3,1.7,0.7,1.6,3.1,6.2,11.8,74.2,14.7,17.4,12.7,18.0
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.7,1.2,5.2,3.6
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,1.6,2.6,1.5,0.4,0.4,0.5,0.2,0.2,22.2,3.7,9.8,2.2,1.1,5.7,7.7
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,Қизилтепа тумани,3.6,3.1,4.8,4.4,4.6,1.8,2.4,13.9,27.6,42.5,45.9,25.5,77.8,29.9,31.8
1712230,Navbahor tumani,Навбахорский район,Navbahor district,Навбаҳор тумани,6.5,7.0,10.1,0.9,3.0,8.9,13.1,18.2,20.1,28.5,31.6,30.9,44.5,43.5,38.4
1712234,Karmana tumani,Карманинский район,Karmana district,Кармана тумани,101.2,74.6,221.3,239.6,122.3,87.6,66.7,87.8,140.8,167.3,279.9,286.7,389.2,351.1,365.1
1712238,Nurota tumani,Нуратинский район,Nurota district,Нурота тумани,0.0,0.1,1.2,0.5,0.2,0.3,0.8,2.3,39.5,12.7,11.4,6.2,8.3,10.1,8.5
1712244,Tomdi tumani,Тамдынский район,Tomdy district,Томди тумани,0.2,0.1,0.2,0.1,0.1,0.0,0.5,0.6,1.4,1.1,2.4,5.0,2.7,1.1,4.4
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,Учқудуқ тумани,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.1,1.5,4.1,4.9,6.5,16.0,11.1,4.2
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,Хатирчи тумани,0.3,0.2,0.1,0.2,0.2,0.1,4.3,2.7,12.6,38.6,17.7,55.4,10.2,65.8,80.9
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,481.0,205.9,230.9,280.1,330.7,273.2,482.0,573.7,1202.6,986.5,873.8,1091.0,1279.7,1404.9,1381.5
1714401,Namangan shahri,Город Наманган,Namangan city,Наманган шаҳри,99.7,125.7,138.4,136.9,148.3,126.5,121.8,145.4,296.2,370.9,318.1,405.0,492.7,624.7,590.2
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,Мингбулоқ тумани,0.1,0.6,0.0,0.1,0.2,0.0,1.1,23.5,9.1,10.5,39.7,47.7,12.2,12.7,14.7
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,Косонсой тумани,1.5,1.5,1.5,5.6,2.7,2.6,3.9,12.5,35.0,73.7,49.3,75.4,107.1,101.8,116.6
1714212,Namangan tumani,Наманганский район,Namangan district,Наманган тумани,66.9,32.9,27.7,34.3,43.0,40.3,55.5,60.4,85.1,61.2,68.5,56.4,66.7,62.4,54.2
1714216,Norin tumani,Нарынский район,Naryn district,Норин тумани,1.4,0.8,0.3,1.6,1.6,0.2,6.0,0.5,12.9,49.0,57.6,63.8,44.9,71.8,42.5
1714219,Pop tumani,Папский район,Pop district,Поп тумани,8.2,10.1,14.4,11.2,7.6,1.8,0.5,15.8,19.5,46.7,36.3,33.2,42.4,36.5,75.4
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,Тўрақўрғон тумани,4.0,1.0,11.0,19.1,41.5,46.7,34.6,154.7,123.5,90.1,85.8,104.5,145.3,188.7,131.6
1714229,Uychi tumani,Уйчинский район,Uychi district,Уйчи тумани,2.6,4.6,10.5,23.8,19.1,23.9,29.6,28.4,46.3,69.3,46.7,87.8,86.6,88.9,87.6
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,Учқўрғон тумани,1.6,2.0,3.9,0.8,3.2,6.3,116.9,34.4,59.5,26.6,25.5,39.9,54.8,38.0,29.2
1714236,Chortoq tumani,Чартакский район,Chartak district,Чортоқ тумани,2.3,2.0,2.8,2.7,2.8,1.9,34.6,8.4,17.5,17.9,27.0,38.6,53.8,58.2,72.0
