Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,125.3,181.7,192.2,259.0,396.1,496.4,538.2,641.2,881.6,1044.3,970.2,1061.4,1226.5,1475.3,1752.6
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,135.1,179.7,203.4,296.8,470.4,572.2,661.2,786.3,1004.3,1227.3,1421.5,1474.8,1690.6,1992.5,2473.5
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,55.4,79.4,91.2,135.8,136.2,164.2,198.1,236.3,324.4,332.7,568.2,725.9,860.3,971.7,1117.2
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,163.1,201.7,251.9,372.1,623.0,641.5,814.1,985.2,1400.8,1740.8,1822.0,2079.4,2529.8,3152.1,3629.3
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,81.1,109.5,142.5,177.3,211.6,257.1,315.7,376.7,436.4,529.6,584.3,682.8,875.8,1017.1,1151.0
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,64.1,86.4,105.2,165.9,199.5,159.9,194.3,232.5,316.1,651.8,693.0,619.9,744.1,853.3,1238.5
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,1290.2,1726.5,2259.7,2958.2,3693.8,4481.8,5611.9,6578.5,8375.0,10309.2,12072.8,12747.1,15522.0,18167.1,22420.5
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,540.0,640.4,794.5,953.4,1061.8,1352.4,1779.4,2092.3,2801.8,3462.0,4090.3,3876.9,4680.4,5435.2,6653.6
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,52.4,63.6,86.9,127.0,171.4,203.8,241.5,282.1,390.9,493.2,389.7,490.4,576.4,672.9,779.5
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,33.9,45.6,54.1,58.5,108.2,121.5,142.1,166.3,203.6,259.3,263.8,300.4,345.6,450.6,538.3
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,65.6,81.0,98.3,159.9,196.9,223.5,273.3,320.2,401.3,496.8,745.4,955.3,1121.8,1332.3,1526.7
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,80.0,111.9,146.0,180.3,222.9,264.5,315.1,369.6,465.5,619.7,641.3,460.0,534.0,618.0,740.2
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,211.5,277.4,403.5,532.9,648.3,776.7,970.0,1136.6,1374.3,1774.5,2189.1,2463.6,2952.4,3457.7,3976.7
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,17.7,25.3,39.7,53.2,61.7,72.6,86.6,101.2,146.1,221.2,270.0,358.7,480.7,557.3,633.0
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,67.6,127.3,194.1,318.8,429.4,505.9,623.5,729.8,907.4,828.2,901.2,984.3,1141.8,1323.7,1513.0
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,15.8,20.2,24.9,31.1,61.2,73.9,91.8,107.3,135.8,168.2,258.3,271.4,318.6,371.3,431.0
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,32.1,68.2,75.4,61.2,99.9,118.2,145.2,169.8,214.8,211.5,407.7,419.6,559.7,650.8,755.4
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,71.1,109.1,135.6,191.0,259.0,306.3,376.9,440.7,498.6,647.8,727.0,868.2,1035.4,1221.9,1407.9
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,49.0,77.1,101.9,147.5,193.6,252.1,311.5,364.6,474.3,639.7,708.9,760.8,1106.2,1279.7,1479.3
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,53.5,79.4,104.8,143.4,179.5,210.4,255.0,297.9,360.6,486.9,480.1,537.4,669.1,795.7,914.2
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,629.6,882.5,1161.9,1542.6,1904.7,2320.5,2912.3,3442.7,4373.4,5883.0,7223.3,6472.8,7995.4,9516.8,11372.9
