Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,6.4,9.2,11.5,14.3,23.1,78.9,31.9,24.5,143.6,172.0,141.2,146.1,232.6,269.6,777.2
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,20.6,29.1,33.5,51.7,92.5,100.1,143.8,149.3,474.7,882.6,581.9,586.2,560.5,785.8,1011.9
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,122.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,12.0,18.8,23.5,40.5,50.0,63.9,133.7,92.8,146.2,241.3,311.2,388.3,469.4,527.4,1387.6
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,24.8,40.7,48.1,52.2,101.8,141.0,111.3,191.2,209.7,304.1,252.1,324.9,646.8,762.3,880.8
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,16.4,25.5,28.8,40.6,51.2,62.4,60.3,102.8,159.3,257.5,390.5,346.1,484.5,550.0,1015.3
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,12.2,21.7,27.7,36.9,50.9,52.3,81.4,170.0,214.4,547.7,1051.1,1186.7,1440.2,900.0,1071.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,2147.2,2101.8,2405.8,2998.7,3583.2,4075.9,5922.9,11613.4,9610.9,10366.6,12183.9,20528.3,21638.3,31030.5,51663.9
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,146.9,181.8,178.5,259.7,566.9,903.7,1314.9,1716.4,1500.9,2786.7,2719.7,4498.8,5634.2,4651.1,6977.5
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,112.8,46.4,45.2,58.7,33.7,48.0,39.3,48.3,154.8,330.1,311.6,337.3,182.5,385.4,292.2
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,166.0,514.7,553.5,1068.4,1527.2,1283.6,2788.7,8109.3,3459.8,1380.2,852.9,1292.9,826.5,1013.4,2183.2
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,31.2,44.0,56.6,87.8,98.5,115.9,143.1,101.7,384.7,409.2,707.3,1388.6,1750.5,2074.8,3820.6
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,22.7,32.9,41.8,54.7,69.2,66.9,38.1,62.7,188.9,280.4,296.1,603.0,672.7,947.1,991.2
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,63.7,92.7,83.0,112.1,147.3,163.6,141.8,184.6,499.3,455.0,673.4,658.7,865.2,4724.7,7915.3
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,88.7,108.9,51.4,107.5,184.7,184.4,183.5,265.0,337.4,816.5,610.6,1616.8,3737.8,1775.2,1821.1
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,22.5,52.7,50.8,49.2,83.2,99.6,86.3,86.3,196.8,394.2,360.8,1019.9,773.9,2701.4,13125.4
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,95.5,78.0,103.7,152.3,216.2,171.8,161.5,78.9,744.9,270.3,202.3,800.9,1246.9,3659.2,3930.0
