Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,12.3,16.3,11.5,17.7,50.0,115.2,123.6,149.2,196.9,284.3,378.5,330.8,248.1
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,42.5,41.3,59.3,101.1,150.5,290.2,324.3,372.8,369.8,558.3,575.4,646.8,661.1
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,4.2,6.1,6.2,10.5,36.0,91.7,120.1,118.9,132.8,260.9,334.2,385.9,314.2
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,35.4,38.4,45.7,64.3,85.0,188.5,222.0,275.8,456.2,549.5,770.5,1009.5,1864.9
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,764.1,977.2,1082.0,1331.8,1732.7,2292.0,2635.9,3112.1,3661.3,5311.1,6701.9,8570.2,4899.6
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,174.1,189.1,195.6,201.9,388.3,470.0,592.7,875.8,1053.6,808.8,1266.5,1706.1,1342.3
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,63.1,100.8,101.8,172.3,87.8,98.7,126.3,128.2,139.2,247.1,279.7,361.3,235.7
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,7.5,12.8,15.7,18.7,48.8,66.0,86.2,87.1,94.0,154.0,296.6,175.3,110.2
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,14.8,23.9,35.6,46.8,144.7,185.6,186.1,206.6,242.9,439.9,394.5,375.7,200.5
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,19.3,27.1,43.9,52.7,71.1,158.8,212.5,227.2,247.4,304.9,356.8,364.1,310.5
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,34.1,46.4,59.4,76.7,181.5,260.7,303.1,334.2,369.8,539.4,795.6,1083.8,807.6
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,11.9,17.8,24.0,39.7,110.9,117.7,90.4,103.0,163.9,506.8,291.0,536.3,408.5
